스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1001A,,SS1099Z,SS1002A,0,,,NPC10,MN06,NPC10,포야 포와르 포야 포와르 포포포~,,,,,,,,,,1
SS1002A,,SS1001A,SS1002B,3,,,NPC10,MN06,NPC10,인어는 물고기랑 친하지 인어랑 물고기~,,,,,,,,,,1
SS1002B,,SS1002A,SS1003A,3,REIT,NPC14,NPC10,MN06,,있지있지 포야 혹시 인어를 알어??,,,,,,,,,,
,,,,,,,,,NPC10,인어??,,,,,,,,,,
,,,,,,,,,POYA00,응응 인어!! 있지 내가 인어를 볼 수 있는 방법을 알고 있어~,,,,,,,,,,
,,,,,,,,,NPC14,인어를 본거야??,,,,,,,,,,
,,,,,,,,,NPC14,"아니 하지만 그 방법을 알고 있지! 하,, 이건 정말 비밀인데...",,,,,,,,,,
,,,,,,,,,POYA00,추추 나 궁금해!! 알려줄 수 있어??,,,,,,,,,,
,,,,,,,,,NPC14,정말?? 인어 비늘을 더 구하려면 어떻게 해야하는데??,,,,,,,,,,
,,,,,,,,,,그건 나도 몰라~,,,,,,,,,,
,,,,,,,,,,인어는 물고기랑 친하지 인어랑 물고기~,,,,,,,INM,대나무(화폐),30,20
SS1003A,,SS1002A,SS1003B,23,,,,,,판다판다~ 냥냥~ 쿤쿤 냥냥~,,,,,,,,,,1
